time_s,x_m,y_m,z_m,roll_deg,pitch_deg,yaw_deg
0.0,-1.1573503017425537,1.180482029914856,1.7491633892059326,-2.2565391063690186,-0.6665626764297485,-0.17210647463798523
0.10030841827392578,-1.1672383546829224,1.178696632385254,1.751967430114746,-2.272148370742798,-0.6219356656074524,-0.16052119433879852
0.19931697845458984,-1.1832823753356934,1.151842474937439,1.7780429124832153,-2.2179229259490967,-0.5620266199111938,-0.15270182490348816
0.29808545112609863,-1.2025996446609497,1.1311335563659668,1.8192360401153564,-2.188114643096924,-0.49417632818222046,-0.14495372772216797
0.3983948230743408,-1.1925102472305298,1.133052945137024,1.8066461086273193,-2.2117388248443604,-0.5466768741607666,-0.1488754004240036
0.4980342388153076,-1.1937730312347412,1.137274146080017,1.800456166267395,-2.2417714595794678,-0.5500455498695374,-0.1497233510017395
0.5989944934844971,-1.2035365104675293,1.143448829650879,1.7655075788497925,-2.275179386138916,-0.5339615941047668,-0.15194374322891235
0.6983449459075928,-1.2119239568710327,1.1661301851272583,1.755039095878601,-2.3395919799804688,-0.516248345375061,-0.15591029822826385
0.7991311550140381,-1.2187086343765259,1.1656235456466675,1.782631516456604,-2.3288283348083496,-0.5174658894538879,-0.15110908448696136
0.9010589122772217,-1.2137106657028198,1.1762224435806274,1.8064488172531128,-2.3535356521606445,-0.5332109928131104,-0.15035654604434967
0.9986956119537354,-1.2172813415527344,1.1883137226104736,1.795995831489563,-2.370648145675659,-0.5598552823066711,-0.15294457972049713
1.0999464988708496,-1.2103151082992554,1.193669080734253,1.8204073905944824,-2.362731695175171,-0.5939790606498718,-0.1612159013748169
1.1999096870422363,-1.2078555822372437,1.1980308294296265,1.7864190340042114,-2.381333827972412,-0.6160669922828674,-0.16203150153160095
1.2989683151245117,-1.214518427848816,1.1974040269851685,1.7722574472427368,-2.3830361366271973,-0.5959532260894775,-0.1556646227836609
1.4023144245147705,-1.2089521884918213,1.1892342567443848,1.822314977645874,-2.3508858680725098,-0.6144279837608337,-0.15466143190860748
1.4990293979644775,-1.1907609701156616,1.1917465925216675,1.8623954057693481,-2.343571662902832,-0.6749385595321655,-0.1637611985206604
1.5994374752044678,-1.1898219585418701,1.1796456575393677,1.9021438360214233,-2.30751371383667,-0.674773097038269,-0.16313232481479645
1.700197458267212,-1.1823456287384033,1.1954286098480225,1.8721649646759033,-2.340606689453125,-0.7105867266654968,-0.16909189522266388
1.7999322414398193,-1.174485206604004,1.2075077295303345,1.8369940519332886,-2.371094226837158,-0.7465037703514099,-0.16977177560329437
1.9002797603607178,-1.142896056175232,1.1808674335479736,1.861496090888977,-2.305023193359375,-0.8340257406234741,-0.18746718764305115
2.0001606941223145,-1.1279034614562988,1.1913810968399048,1.8888375759124756,-2.3269715309143066,-0.8606321215629578,-0.1867281198501587
2.0995051860809326,-1.1457650661468506,1.1971418857574463,1.8903357982635498,-2.3300893306732178,-0.7847698926925659,-0.17575277388095856
2.1992883682250977,-1.1478970050811768,1.179263710975647,1.9185413122177124,-2.285261392593384,-0.7534245848655701,-0.1713075339794159
2.299161672592163,-1.1418126821517944,1.1973628997802734,1.8983582258224487,-2.3252811431884766,-0.7671961188316345,-0.1656942367553711
2.4007956981658936,-1.1280747652053833,1.2066575288772583,1.8795801401138306,-2.3450160026550293,-0.7943815588951111,-0.16353051364421844
