time_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps
0.0,1.993666648864746,0.9046666622161865,0.16366666555404663,0.0,0.0,0.0
0.1003570556640625,1.968263032099002,0.9041345761449865,0.20842264633865484,0.0,0.0,0.0
0.20264220237731934,1.9560655277701415,0.904284588261999,0.27109001633700275,-0.00296249287596076,-6.205026669484534e-05,0.00521930697717933
0.30272459983825684,1.947883269225601,0.909542209576169,0.35638193380874483,-0.11043544082791394,0.0013487379587447366,0.5664255407152214
0.4001011848449707,1.953795707248042,0.9187071399614598,0.43156281505297517,-0.08957891510562076,0.03871114666213541,0.7754383557530361
0.4994347095489502,1.9729183188853352,0.9121483294845872,0.4926602956418353,0.016216450550129977,0.0763909603485731,0.7588083710065224
0.6003367900848389,1.9947387093618218,0.9039184374030194,0.5259583882267493,0.14246270770421743,-0.02599338828988365,0.6524655200123055
0.7006123065948486,2.003256384840592,0.8933142183329444,0.5477325298553931,0.19704934129070792,-0.06665282011853249,0.42095731942048087
0.8013312816619873,1.9994558273798606,0.8890113162515154,0.5566514135495342,0.11633880068591422,-0.09514021251521658,0.2743794775098707
0.902533769607544,1.9970975837819198,0.8942583582538518,0.5546024288694916,0.00482392703515723,-0.057471471992889024,0.1405344210790437
0.9995999336242676,1.9963552007829861,0.9030245446990871,0.5461177934914447,-0.015662525135910474,0.021749007261616042,0.024605572975197942
1.1008448600769043,2.006324606233572,0.891329539949612,0.5321896500882543,-0.009681099813029635,0.06926915158272437,-0.05444201050620236
1.2004597187042236,2.0113693741629133,0.8866882958380102,0.5280061565309673,0.06479402512035157,-0.05744907739023697,-0.11230560317586762
1.300971269607544,2.009081315064014,0.8862972100789994,0.5257812942915219,0.05450904457080921,-0.049540031748040475,-0.06169849490335472
1.4005990028381348,2.004114770474772,0.8879747378796297,0.5187258348780216,-0.0014267072013758111,-0.016537835162861683,-0.03314142059359935
1.5035545825958252,2.005314348686953,0.884725030416819,0.5149197703096289,-0.036270882343541325,0.007513608232096111,-0.060187086791439054
1.601043939590454,2.0000398942299698,0.8899916573809107,0.5176024801046922,-0.00150217563496826,-0.021323802988381487,-0.044279039967638205
1.701042890548706,1.9915900726752598,0.902617020997816,0.522186335266881,-0.03847078133560776,0.032063059257754045,0.007034048247458645
1.7995903491973877,2.0026340954386157,0.8882507654873039,0.5365146883512869,-0.07171536911027965,0.1000767853575704,0.03505186367916603
1.8999722003936768,2.0023943450668344,0.8830068910484645,0.5481259342584718,0.05962926719471992,-0.0756790438780691,0.11298402864173854
2.003044366836548,1.9930172506366504,0.8821587088953062,0.5591622488460722,0.014879465785294789,-0.05888308436290084,0.11517794335906634
2.1007466316223145,1.9798312699173684,0.879941551293377,0.5814990539551463,-0.06359434709016998,-0.02258454937205351,0.1119301174796504
2.2030656337738037,1.9844034708422085,0.8772495732691894,0.5999745288270928,-0.11278085387377298,-0.02225277414810813,0.19221108379565027
2.3017523288726807,1.9943000639542299,0.8717316677539542,0.6154334525546995,0.0016888795262211542,-0.02562648796290228,0.1868497919532181
2.4025990962982178,1.9904309711736652,0.8751395655694123,0.6290762895072428,0.07196442634129649,-0.0469954923992983,0.16368896467745267
2.501433849334717,1.9822822121563335,0.879508272742403,0.644206876210774,-0.007833842304597452,0.011465758647081117,0.14390315956594485
2.5999324321746826,1.9668950620392278,0.8790628028933635,0.6652005034719036,-0.06104276343820853,0.034751853453704476,0.14940737612623792
2.605518102645874,1.96698017705234,0.866173637346091,0.6704034377023659,-0.1280852174347342,0.0064180274008856925,0.19308938816638832
2.6999831199645996,1.9686433628077646,0.8766031883094203,0.6827488644778983,-0.12692511082571487,-0.08715700770769613,0.23003399560416327
2.8002946376800537,1.9755738807802536,0.8840396046719885,0.6922645975757359,-0.016406772645255016,0.06055005800086413,0.1485054549850936
2.899523973464966,1.97311407361939,0.8832551527372653,0.7056273007894635,0.045730887888278865,0.07051179979087983,0.10971443731998083
3.0042824745178223,1.9665550123316857,0.8846674530710036,0.7188786005269213,-0.004890503684247753,0.014140519836158008,0.1271058469518067
3.0118799209594727,1.96401670707546,0.8651203142857743,0.7259350188702663,-0.048625298757002826,0.014116368443720764,0.1308984506897442
3.101901054382324,1.9480548782666574,0.8756015628499549,0.7362244457191272,-0.06681216802278539,-0.12735986229261284,0.18147309748947427
3.108250617980957,1.9507189840005725,0.8631651850342564,0.7388574872469891,-0.14038299210213318,0.05525455258750342,0.12034239241933689
3.201374053955078,1.951866471191918,0.8727886005159483,0.7526920652163791,-0.11865612042265501,-0.04345418694811859,0.14064368260850046
3.300774574279785,1.9653975414592253,0.8836451938503256,0.761770514094675,-0.018617516400785405,0.0643444708401543,0.13955872577875203
3.4050867557525635,1.9654541997668922,0.8849765865441148,0.7711174335756014,0.09265508280454757,0.09634091812735773,0.10435680287855761
3.502342939376831,1.9595272400544608,0.8798358797621527,0.7838547954151495,0.026264923638715437,0.03647570988820295,0.09645030410479823
3.6016130447387695,1.9703186736465161,0.8862305763929929,0.7921571850170556,-0.03541237013528294,-0.026910641545542013,0.11857239483334499
3.699767827987671,1.9701532712396195,0.8928121992980083,0.7968033352965554,0.06808912744593623,0.03869571087782499,0.09303131281159821
3.7063848972320557,1.9725691453110028,0.8810181302591578,0.8077094284188169,0.017658857442029302,0.05823149885951761,0.0593028565336265
3.804161787033081,1.9667538244603817,0.8865369274157389,0.8122741734149352,0.03510067322945669,-0.02691779844720741,0.13804125993479693
3.8116254806518555,1.9694722241645088,0.8710251236979115,0.8198287467545974,-0.03713497180733144,0.03668604845444771,0.06656693017735994
3.9025425910949707,1.9717465632532791,0.8800488519030739,0.8205583649766495,-0.015892036190933177,-0.08395386890904336,0.1250430093220292
4.0024237632751465,1.97411319792238,0.8880444728056831,0.8203116480572761,0.01451673825131257,0.05311333855320316,0.032575845272144105
4.100306034088135,1.970525938143468,0.8928940809887657,0.8246773750105179,0.021158884620682154,0.07260960042294107,0.007217806235982092
4.203646421432495,1.9686736464326144,0.8910250479135892,0.8317526369122614,-0.01982386519890071,0.05527777414550895,0.033401892876714814
4.212132453918457,1.9692352753960303,0.8710230211330329,0.8366858272052015,-0.018890637634718425,0.0018861560856501397,0.06038131042322271
4.300838947296143,1.973521128841685,0.8769147935764262,0.8383694012485251,-0.0147405923023588,-0.14319434698242806,0.09591643582493865
4.400649309158325,1.9792488707944305,0.8830924035880652,0.8377883358509429,0.02975983355493393,0.012623581292673908,0.03509389994526592
4.500245094299316,1.9794160212207716,0.8853850908983301,0.8392113839924014,0.04969055685071261,0.04823391358228782,0.005448267367563073
4.601845979690552,1.9775414520179975,0.888085797510173,0.8408649906624083,0.01512997926931775,0.03003921619667947,0.011781880501498702
4.702547311782837,1.9818136087524716,0.8827591412549075,0.8445908997520102,-0.00932675397598226,0.027858948358770376,0.015218463000274665
4.801272630691528,1.9868383455959637,0.8769140689137866,0.847135377362803,0.02825529614288154,-0.030720676904666948,0.031130145863425558
4.808975458145142,1.984503809575966,0.8646615303283498,0.856433548415464,0.044104263970008106,-0.05070445781962386,0.027035685346565055
4.9031922817230225,1.9836505630408587,0.8704906989308177,0.8509757203039192,0.027228062703307677,-0.13903508137723464,0.09407759261758232
4.910838842391968,1.9834616767039706,0.86052641888503,0.8551952433767683,-0.0010039300573328781,0.01675616705398081,-0.02329418585569322
5.001510858535767,1.9827821623994852,0.8673004757934458,0.8474572989161806,-0.002496081788068137,-0.06202258164079069,0.010080626249474013
