time_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps
0.0,3.2723333835601807,0.5266666412353516,0.16200000047683716,0.0,0.0,0.0
0.10972356796264648,3.288668003439514,0.5215857580309555,0.1904908878115807,0.0,0.0,0.0
0.204118013381958,3.302841144450323,0.5205212587183664,0.25787194134402236,0.0019022407719055411,-0.0005916919561085395,0.0033178934016387077
0.2987842559814453,3.3154154720765554,0.5234169143170778,0.3305819788967043,0.12571292953752022,-0.009493766676309164,0.5969947722808868
0.42181825637817383,3.3360099010761712,0.5136848703425718,0.4404273336972688,0.12793080163464368,0.01883642155399265,0.7038431408296594
0.5088281631469727,3.3391141878274175,0.5104707736722837,0.5024672129662265,0.17808573606878303,-0.059086697133810984,0.9566586585699717
0.6089463233947754,3.354419866813844,0.5194106051101637,0.5926414384815805,0.07282692713903959,-0.039862183895545605,0.717285732611242
0.6228852272033691,3.357980335028774,0.5275500224084234,0.6002505342090454,0.13075655383892043,0.0538080580021625,0.849288595359628
0.7089660167694092,3.3803112381327973,0.5299705288312457,0.6559686099850457,0.15643317005571583,0.11271651870150128,0.9036731492620393
0.7204608917236328,3.372887213361507,0.533457320065444,0.6643941744724001,0.20475679097168664,0.0488514317756157,0.6537961825927451
0.8166022300720215,3.3761063006244516,0.5346371148717269,0.7032066137019893,0.15116179631146553,0.07402302849507025,0.7146214219501592
1.0030534267425537,3.379309727284908,0.5195314697129775,0.7920177133395742,0.06031743537977871,0.02654126708636432,0.46338869410212263
1.0112807750701904,3.3804646152526776,0.5137676529340258,0.7902989645663124,0.017886149816695743,-0.07167107145830612,0.44661708134858713
1.1029095649719238,3.3702468119015405,0.518480148473922,0.8179506237432755,0.02344837460582851,-0.09943103213207868,0.4383391640962421
1.215994119644165,3.3648807505230103,0.5323960629281982,0.8389044653216373,-0.06281760330730833,0.0011832408776183273,0.32735234950588415
1.305288314819336,3.3686790048317103,0.5411679907416879,0.8561034776220238,-0.05674267499439354,0.09258358075916055,0.24926105805945659
