time_s,x_m,y_m,z_m,roll_deg,pitch_deg,yaw_deg
0.0,-1.198164463043213,1.1972702741622925,1.8696630001068115,-2.473937749862671,-0.3094538748264313,-0.48513853549957275
0.1006014347076416,-1.2125226259231567,1.2048107385635376,1.8285423517227173,-2.481541395187378,-0.3211885988712311,-0.47435906529426575
0.20218968391418457,-1.1736469268798828,1.2129031419754028,1.8240426778793335,-2.4894373416900635,-0.4743800461292267,-0.4875714182853699
0.30097436904907227,-1.1789976358413696,1.2041902542114258,1.840407371520996,-2.4677047729492188,-0.46134012937545776,-0.4784950613975525
0.4000527858734131,-1.193989872932434,1.2060301303863525,1.7962253093719482,-2.463998317718506,-0.4520293176174164,-0.47119444608688354
0.5019564628601074,-1.2082444429397583,1.19822359085083,1.8070014715194702,-2.4331929683685303,-0.4257265031337738,-0.459138959646225
0.601830244064331,-1.2297993898391724,1.165499210357666,1.8778724670410156,-2.346907615661621,-0.3671300709247589,-0.4586842656135559
0.7004280090332031,-1.2220923900604248,1.1831449270248413,1.8627182245254517,-2.385697603225708,-0.435266375541687,-0.437127023935318
0.8009426593780518,-1.1944279670715332,1.1742383241653442,1.8852652311325073,-2.360409736633301,-0.5487744808197021,-0.4039643406867981
0.9008922576904297,-1.1975847482681274,1.1855487823486328,1.8428343534469604,-2.3689534664154053,-0.5875755548477173,-0.38437560200691223
1.0010161399841309,-1.1970456838607788,1.1970908641815186,1.8246923685073853,-2.390728712081909,-0.6093271970748901,-0.3672705590724945
1.1013526916503906,-1.2071733474731445,1.1873050928115845,1.8255406618118286,-2.3636598587036133,-0.5891172885894775,-0.3702007830142975
1.2006549835205078,-1.2081990242004395,1.167850136756897,1.8762853145599365,-2.3182084560394287,-0.5858910083770752,-0.3708106577396393
1.3008379936218262,-1.1766895055770874,1.1525084972381592,1.8755626678466797,-2.2930991649627686,-0.709784746170044,-0.32885852456092834
1.3999099731445312,-1.189755916595459,1.1247828006744385,1.9101495742797852,-2.2409958839416504,-0.661065399646759,-0.3468511998653412
1.501030445098877,-1.1967990398406982,1.1382300853729248,1.8855750560760498,-2.2835068702697754,-0.6514970064163208,-0.32940566539764404
1.6021695137023926,-1.201021671295166,1.1466070413589478,1.883493423461914,-2.2986814975738525,-0.6584751009941101,-0.31306618452072144
1.7002441883087158,-1.1968642473220825,1.162164568901062,1.8508427143096924,-2.3328168392181396,-0.6984274387359619,-0.2777714133262634
1.8015546798706055,-1.1751816272735596,1.2062385082244873,1.8215714693069458,-2.436180830001831,-0.7695901989936829,-0.2092921882867813
1.9010584354400635,-1.1784864664077759,1.2025136947631836,1.8155959844589233,-2.4252800941467285,-0.7574682831764221,-0.2060687392950058
2.0000576972961426,-1.1451385021209717,1.1870630979537964,1.8754273653030396,-2.3847596645355225,-0.8347576260566711,-0.20509809255599976
2.101530075073242,-1.167900800704956,1.1886929273605347,1.8784854412078857,-2.3844308853149414,-0.744804859161377,-0.1991589516401291
2.2014663219451904,-1.187506079673767,1.1809049844741821,1.8473851680755615,-2.3584091663360596,-0.689730703830719,-0.2018965184688568
2.3004701137542725,-1.1939188241958618,1.1886566877365112,1.8136721849441528,-2.372098207473755,-0.6847522854804993,-0.18458257615566254
2.401432752609253,-1.190849781036377,1.1773661375045776,1.821628212928772,-2.350642204284668,-0.7012060284614563,-0.1882297396659851
